,city,postcode,latitude,longitude,total_score,scheme_references,nobroadband_rate,simd10,pctype,ur_class
0,Glasgow,G23 5LA,55.8983126,-4.28328833,29,MVS,0,2,small,6
1,Edinburgh,EH164XU,55.91494969,-3.12489453,29,MVS,29,2,small,6
2,Edinburgh,EH164XW,55.91492652,-3.12644581,29,MVS,29,2,small,6
3,Edinburgh,EH164XT,55.91439192,-3.12595033,29,MVS,29,2,small,6
4,Edinburgh,EH164XB,55.92462247,-3.12440662,29,MVS,29,2,small,6
5,Edinburgh,EH164XE,55.92593478,-3.11447415,29,MVS,29,2,small,6
6,Edinburgh,EH164XD,55.92502995,-3.11616056,29,MVS,29,2,small,6
7,Glasgow,G53 7HL,55.79766274,-4.34242443,28,MVS,1,3,small,6
8,Glasgow,G53 7YY,55.79764369,-4.33870574,28,MVS,1,3,small,6
9,Glasgow,G53 7YZ,55.79737982,-4.33840273,28,MVS,1,3,small,6
10,Glasgow,G72 8ZJ,55.80839152,-4.15181508,27,MVS,20,4,small,6
11,Glasgow,G73 5RE,55.7980535,-4.18406319,27,MVS,20,4,small,6
12,Glasgow,G74 4GY,55.7913248,-4.18643017,27,MVS,20,4,small,6
13,Glasgow,G76 9EZ,55.79181689,-4.2111676,27,MVS,20,4,small,6
14,Glasgow,G72 8ZA,55.80372402,-4.17801399,27,MVS,20,4,small,6
15,Glasgow,G45 0QA,55.79840738,-4.23635117,27,MVS,1,4,small,6
16,Glasgow,G72 8YU,55.79952797,-4.1647283,27,MVS,20,4,small,6
17,Renfrewshire,PA9 1AE,55.81564094,-4.54613811,26,IVS,31,5,small,6
18,Glasgow,G71 7TS,55.83644298,-4.10390527,26,IVS,4,5,small,6
19,Renfrewshire,PA5 9UN,55.82594186,-4.48105747,26,IVS,31,5,small,6
20,Glasgow,G33 1AF,55.88222525,-4.17411153,26,MVS,3,5,small,6
21,Glasgow,G33 1FD,55.8988209,-4.17737551,26,MVS,3,5,small,6
22,Glasgow,G33 1JN,55.88739533,-4.18968837,26,MVS,3,5,small,6
23,Glasgow,G71 6NG,55.8359501,-4.1006687,26,IVS,4,5,small,6
24,Renfrewshire,PA5 9UP,55.82095037,-4.47943046,26,IVS,31,5,small,6
25,Renfrewshire,PA5 0SP,55.82128548,-4.50545947,26,MVS,31,5,small,6
26,Renfrewshire,PA5 9UW,55.82264914,-4.48388131,26,IVS,31,5,small,6
27,Glasgow,G33 1PN,55.89807775,-4.17874149,26,MVS,3,5,small,6
28,Renfrewshire,PA2 7DA,55.82356446,-4.3942579,26,MVS,31,5,small,6
29,Renfrewshire,PA5 0SR,55.81650935,-4.50165636,26,IVS,31,5,small,6
30,Renfrewshire,PA2 7TN,55.81995267,-4.42080845,26,MVS,31,5,small,6
31,Renfrewshire,PA5 9UL,55.82524279,-4.48318446,26,MVS,31,5,small,6
32,Glasgow,G33 1PQ,55.89719816,-4.17867617,26,MVS,3,5,small,6
33,Aberdeen,AB159QL,57.12432385,-2.18675104,25,MVS,15,6,small,6
34,Inverness,IV3 8AE,57.48860877,-4.23866328,25,MVS,0,1,small,2
35,Aberdeen,AB158PT,57.14567782,-2.19763348,25,MVS,15,6,small,6
36,Aberdeen,AB158BD,57.141052,-2.17943284,25,MVS,15,6,small,6
37,Inverness,IV1 1DF,57.47915675,-4.22594083,25,MVS,9,1,small,2
38,Inverness,IV3 8AB,57.48810268,-4.23781471,25,MVS,0,1,small,2
39,Stirling,FK9 5DS,56.13760637,-3.94082988,25,MVS,0,1,small,2
40,Inverness,IV1 1NQ,57.48121646,-4.22633309,25,MVS,9,1,small,2
41,Inverness,IV1 1EH,57.47893103,-4.22651093,25,MVS,9,1,small,2
42,Inverness,IV2 4HN,57.46111606,-4.21460645,25,MVS,4,1,small,2
43,Inverness,IV3 8EP,57.48560408,-4.24038133,25,MVS,0,1,small,2
44,Glasgow,G71 7RU,55.83354007,-4.1149107,25,MVS,2,6,small,6
